Gather大陸,#genre#
Pet Club TV,https://cdn.19891230.eu.org/4gtv/4gtv-4gtv110/index.m3u8
Smart知識,https://iptv.yang-1989.eu.org/ofiii/litv-xinchuang19/index.m3u8


Gather香港,#genre#

TVB翡翠台,https://o11.163189.xyz/stream/tvb/fct/
TVB翡翠台4K,https://o11.163189.xyz/stream/tvb/fct4k/
TVB無綫新聞台,https://cdn6.163189.xyz/163189/wxxw
TVB 星河,https://o11.163189.xyz/stream/live/tvbxh/
天映频道,https://o11.163189.xyz/stream/live/typd/
天映經典,https://o11.163189.xyz/stream/live/ccm/
Now新聞台,https://cdn.163189.xyz/163189/now
娛樂新聞台,https://cdn6.163189.xyz/163189/ylxw
千禧經典台,https://o11.163189.xyz/stream/live/tvbc/
TVB Plus,https://o11.163189.xyz/stream/tvb/tvbp/
亞洲武俠,https://cdn6.163189.xyz/163189/yzwx
五星体育,https://iptv.yang-1989.eu.org/kdf/1605
新纪实,https://iptv.yang-1989.eu.org/kdf/1600
鳳凰衛視·中文,https://cdn6.163189.xyz/163189/fhzw
鳳凰衛視·資訊,https://cdn6.163189.xyz/163189/fhzx
鳳凰衛視·香港,https://cdn6.163189.xyz/163189/fhhk
